product_id,image,is_thumbnail
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1651185982/693674_96IWT_8745_012_100_0000_Light-.jpg,0
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1651185983/693674_96IWT_8745_013_100_0000_Light-.jpg,0
10,//media.gucci.com/style/White_South_0_160_316x316/1662741003/693664_96IWT_8745_001_090_0000_Light-.jpg,1
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671733830/693664_96IWT_8745_003_100_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1662741010/693664_96IWT_8745_002_090_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671733830/693664_96IWT_8745_003_100_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671733832/693664_96IWT_8745_004_100_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1662741015/693664_96IWT_8745_007_090_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1662741020/693664_96IWT_8745_009_090_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1662741028/693664_96IWT_8745_010_090_0000_Light-.jpg,0
10,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1662741034/693664_96IWT_8745_013_090_0000_Light-.jpg,0
11,//media.gucci.com/style/White_South_0_160_316x316/1665767704/451003_92TCG_8563_001_093_0000_Light--G-GG.jpg,1
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675277108/451003_92TCG_8563_003_100_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1665767704/451003_92TCG_8563_001_093_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1665767706/451003_92TCG_8563_002_093_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675277108/451003_92TCG_8563_003_100_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675277109/451003_92TCG_8563_004_100_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1665767708/451003_92TCG_8563_009_093_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1665767710/451003_92TCG_8563_010_093_0000_Light--G-GG.jpg,0
11,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1665767712/451003_92TCG_8563_012_093_0000_Light--G-GG.jpg,0
